Verhardingsobject Guid,Datum,Inspecterende organisatie,Dwarsonvlakheid,Langsonvlakheid,Oneffenheden,Rafeling,Randschade,Scheurvorming,Voegvulling,Voegwijdte,Zetting,Opmerking
{015B373D-98F2-4FC5-8E30-698E3D958ACF},16-3-2016,,G,,G,G,G,G,G,G,G,
{015B373D-98F2-4FC5-8E30-698E3D958ACF},14-6-2018,,G,,G,G,G,G,,,G,
{01690573-B8A1-4905-B14A-2A1DE9C31CA9},22-9-2016,,G,,G,G,G,G,G,G,G,
{01690573-B8A1-4905-B14A-2A1DE9C31CA9},20-6-2019,,G,,G,G,G,G,,,G,
{016A0C29-DB36-4C18-ACBB-680543F57079},20-9-2016,,G,,G,L2,G,G,G,G,G,
{016A0C29-DB36-4C18-ACBB-680543F57079},24-5-2018,,G,,G,M1,G,G,,,G,
{016A0C29-DB36-4C18-ACBB-680543F57079},30-1-2019,,G,,G,L2,G,G,,,G,
{01784428-79C2-4615-A14F-ADABB3F5A732},29-3-2017,,G,,G,G,G,L1,G,G,G,
{01784428-79C2-4615-A14F-ADABB3F5A732},19-3-2019,,G,,G,L1,E1,G,,,G,
{017891AA-06B1-4080-AC89-2F4FAC4C3B87},16-3-2016,,G,,G,G,G,G,G,G,G,
{017891AA-06B1-4080-AC89-2F4FAC4C3B87},4-6-2018,,G,,G,G,G,G,,,G,
{017B4586-1070-46E5-B0D9-1618D0A16BCB},20-9-2016,,G,,G,L1,G,G,G,G,G,
{017B4586-1070-46E5-B0D9-1618D0A16BCB},22-5-2018,,G,,G,G,G,G,,,G,
{0186C3BE-D1FC-4C6E-8B2A-9C627583DB00},17-4-2019,,G,,G,G,G,G,,,G,
{019299D5-D79C-408A-8F48-2E4505298BC0},15-8-2017,,G,,G,G,E1,G,,,G,Mutatie
{019299D5-D79C-408A-8F48-2E4505298BC0},12-2-2019,,G,,G,G,G,G,,,G,
{019BAFEF-92B3-42EF-AB3A-31CF01619003},16-3-2016,,G,,G,E2,G,G,G,G,G,
{019BAFEF-92B3-42EF-AB3A-31CF01619003},1-6-2018,,G,,G,M2,G,G,,,G,
{01A0AC7A-5897-41F4-8884-51D57CEBC386},20-9-2016,,G,,G,L1,G,G,G,G,G,
{01A0AC7A-5897-41F4-8884-51D57CEBC386},7-6-2018,,G,,G,G,G,G,,,G,
